City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,kerikeri,-35.2268,173.9474,21.06,90,Clouds,1.34,NZ,1698686606
180,hailar,49.2,119.7,-2.75,75,Clouds,2.94,CN,1698705956
181,diapaga,12.0708,1.7889,27.3,24,Clouds,2.83,BF,1698731107
182,keflavik,64.0049,-22.5624,3.24,75,Clouds,6.17,IS,1698743283
183,sabzevar,36.2126,57.6819,14.6,63,Clear,3.09,IR,1698719427
184,tsiombe,-25.3,45.4833,21.53,82,Clouds,4.21,MG,1698718248
185,ulladulla,-35.35,150.4667,24.87,37,Clear,6.52,AU,1698692225
186,puerto baquerizo moreno,-0.9,-89.6,23.26,81,Clouds,4.08,EC,1698665861
187,itanhem,-17.1664,-40.33,21.68,74,Clouds,1.91,BR,1698739413
188,labytnangi,66.6572,66.4183,-10.74,95,Clouds,1.82,RU,1698722878
189,port saint john's,-31.6229,29.5448,14.86,87,Rain,3.06,ZA,1698721562
190,san jose del cabo,23.0589,-109.6977,26.52,77,Clear,3.09,MX,1698672156
191,vorgashor,67.5833,63.95,-10.12,95,Snow,4.27,RU,1698723885
192,ambodifotatra,-16.9833,49.85,25.36,76,Rain,2.64,MG,1698717789
193,ubinskoye,55.3068,79.6802,-5.15,86,Clouds,5.27,RU,1698716545
194,al bawiti,28.3492,28.8659,19.61,85,Clear,2.98,EG,1698725702
195,dragasani,44.65,24.2667,9.21,62,Clear,2.5,RO,1698728309
196,tondi,9.7333,79.0167,26.84,80,Clouds,4.24,IN,1698712426
197,berezovyy,51.6667,135.7,2.53,28,Clouds,3.04,RU,1698702469
198,myanaung,18.2833,95.3167,26.59,77,Clouds,4.5,MM,1698709048
199,broome,42.2506,-75.833,5.95,94,Clouds,4.12,US,1698665612
200,charters towers,-20.1,146.2667,34.09,17,Clear,5.26,AU,1698694446
201,ekibastuz,51.6667,75.3667,6.22,82,Clouds,4.83,KZ,1698716967
202,tual,-5.6667,132.75,27.57,80,Clouds,3.43,ID,1698698610
203,satipo,-11.2522,-74.6386,22.52,78,Clouds,1.35,PE,1698661649
204,parkes,-33.1333,148.1833,25.2,20,Clear,2.24,AU,1698692975
205,dunedin,-45.8742,170.5036,15.45,75,Clouds,3.13,NZ,1698686254
206,marica,-22.9194,-42.8186,26.97,86,Clouds,1.89,BR,1698739608
207,camabatela,-8.1881,15.375,18.17,98,Clouds,1.04,AO,1698726622
208,portland,45.5234,-122.6762,11.68,50,Clear,4.47,US,1698677229
209,san juan de miraflores,-12.1629,-76.9635,20.65,80,Clouds,2.97,PE,1698662150
210,fougamou,-1.2154,10.5838,23.6,99,Rain,0.89,GA,1698728195
211,pumiao,22.75,108.4833,25.66,62,Clouds,2.3,CN,1698706184
212,kendari,-3.945,122.4989,32.64,49,Clouds,3.38,ID,1698701174
213,al kharijah,25.4514,30.5464,22.78,56,Clear,3.55,EG,1698725086
214,el granada,37.5027,-122.4694,18.34,41,Clear,3.6,US,1698676349
215,hengchun,22.0042,120.7439,26.51,70,Clouds,10.87,TW,1698703190
216,kikwit,-5.041,18.8162,21.59,98,Rain,1.3,CD,1698725989
217,vila velha,-20.3297,-40.2925,24.97,83,Clear,3.6,BR,1698739187
218,pontianak,-0.0333,109.3333,27.99,83,Clouds,2.06,ID,1698704566
219,chigorodo,7.6664,-76.6811,23.11,98,Rain,1.6,CO,1698663264
220,greymouth,-42.4667,171.2,15.06,60,Clouds,4.22,NZ,1698686510
221,ad dabbah,18.05,30.95,26.42,22,Clouds,3.98,SD,1698724485
222,oroqen zizhiqi,50.5667,123.7167,-2.68,55,Clouds,0.64,CN,1698705184
223,namibe,-15.1961,12.1522,17.47,79,Clear,2.2,AO,1698726952
224,acarau,-2.8856,-40.12,25.74,75,Clouds,5.48,BR,1698740263
225,saldanha,-33.0117,17.9442,16.03,68,Clear,4.59,ZA,1698724223
226,axim,4.8699,-2.2405,25.61,90,Clear,2.49,GH,1698731637
227,alice springs,-23.7,133.8833,29.75,13,Clear,6.69,AU,1698697161
228,aasiaat,68.7098,-52.8699,-7.8,83,Clouds,5.5,GL,1698752569
229,tobelo,1.7284,128.0095,28.86,72,Clouds,2.47,ID,1698700189
230,sao jose da coroa grande,-8.8978,-35.1478,24.21,73,Clouds,2.88,BR,1698738702
231,port-saint-louis-du-rhone,43.3833,4.8,13.02,87,Clouds,7.22,FR,1698732842
232,mogocha,53.7333,119.7667,-4.8,26,Clear,1.23,RU,1698706632
233,zhangatas,43.5667,69.75,10.89,87,Clouds,7.42,KZ,1698717260
234,belaya kholunitsa,58.84,50.8528,-3.88,97,Clouds,1.61,RU,1698724201
235,susuman,62.7833,148.1667,-13.34,94,Clouds,0.45,RU,1698701833
236,cabugao,17.7931,120.4578,32.92,53,Clouds,0.92,PH,1698702980
237,rongelap,11.1635,166.8941,28.58,78,Clouds,9.18,MH,1698691419
238,butembo,0.15,29.2833,14.29,90,Clouds,1.66,CD,1698723789
239,xilin hot,43.9667,116.0333,5.17,42,Clear,4.61,CN,1698706187
240,auburn,47.3073,-122.2284,9.8,85,Clear,4.63,US,1698677339
241,letlhakeng,-24.0944,25.0298,11.44,78,Clouds,7.37,BW,1698723245
242,st. john's,47.5649,-52.7093,1.49,94,Snow,3.09,CA,1698747160
243,valparaiso,-33.0393,-71.6273,11.8,76,Clear,2.06,CL,1698745703
244,dolores,-36.3132,-57.6792,7.45,72,Clouds,4.06,AR,1698742051
245,puerto la cruz,10.2167,-64.6167,25.67,76,Clouds,2.56,VE,1698660520
246,manaure,11.7751,-72.4445,28.34,76,Clouds,2.45,CO,1698662493
247,xiuyan,40.2928,123.2744,18.78,75,Clouds,4.37,CN,1698704058
248,weno,7.4515,151.8468,30.97,74,Rain,2.06,FM,1698694808
249,yemetsk,63.4721,41.7941,-6.94,95,Clouds,1.57,RU,1698727629
250,kodiak,57.79,-152.4072,7.73,93,Rain,3.6,US,1698686290
251,taroa,8.7058,171.2275,28.22,80,Rain,7.82,MH,1698690231
252,sao joao da barra,-21.6403,-41.0511,23.75,94,Clouds,3.7,BR,1698739276
253,shirhatti,15.2333,75.5833,25.09,67,Clouds,4.88,IN,1698713590
254,luderitz,-26.6481,15.1594,16.28,47,Clear,2.56,,1698725419
255,talnakh,69.4865,88.3972,-16.55,96,Clouds,2.12,RU,1698718993
256,petukhovo,55.0692,67.9019,-5.27,96,Clouds,3.55,RU,1698719332
257,znamenskoye,57.1281,73.8282,-9.53,87,Clear,3.3,RU,1698718307
258,tangalle,6.024,80.7911,26.09,76,Clouds,0.56,LK,1698711777
259,magadan,59.5667,150.8,-0.26,75,Clouds,3.64,RU,1698700342
260,nova sintra,14.8667,-24.7167,23.55,67,Clouds,1.17,CV,1698737644
261,hwange,-18.3693,26.5019,20.97,75,Rain,2.34,ZW,1698723297
262,emmett,43.8735,-116.4993,4.96,62,Clear,0.45,US,1698675556
263,colonia,50.9333,6.95,11.03,87,Clouds,2.57,DE,1698733296
264,kununurra,-15.7667,128.7333,37.11,29,Clouds,2.23,AU,1698698943
265,urucurituba,-2.6833,-57.6667,26.15,75,Clouds,1.03,BR,1698658092
266,moyynkum,44.2914,72.9469,10.64,83,Rain,8.27,KZ,1698716574
267,waingapu,-9.6567,120.2641,31.52,57,Clear,5.14,ID,1698701363
268,skeldon,5.8833,-57.1333,27.05,85,Clouds,3.91,GY,1698744873
269,ibarreta,-25.2144,-59.8585,20.44,97,Clouds,1.47,AR,1698743525
270,enewetak,11.3474,162.3373,28.33,80,Rain,7.67,MH,1698692524
271,dongola,19.1667,30.4833,25.8,26,Clouds,5.05,SD,1698724670
272,fort st. john,56.2499,-120.8529,1.94,64,Clouds,3.6,CA,1698678395
273,maitum,6.0392,124.4986,29.88,68,Clouds,3.04,PH,1698701287
274,comodoro rivadavia,-45.8667,-67.5,2.92,93,Clear,2.57,AR,1698743315
275,port lincoln,-34.7333,135.8667,15.9,46,Clouds,5.09,AU,1698695784
276,muli,2.9167,73.5667,27.8,72,Clouds,1.87,MV,1698713326
277,vico del gargano,41.8983,15.9576,16.7,75,Clouds,4.43,IT,1698730000
278,santiago de cao,-7.9589,-79.2392,18.07,94,Mist,4.12,PE,1698662954
279,birzebbuga,35.8258,14.5269,24.53,83,Clear,7.2,MT,1698729756
280,gadzhiyevo,69.2551,33.3362,-5.67,93,Snow,5.06,RU,1698732117
281,bamboo flat,11.7,92.7167,29.05,79,Clouds,3.6,IN,1698709258
282,sola,-13.8833,167.55,29.37,84,Clouds,1.03,VU,1698689751
283,al hufuf,25.3646,49.5653,24.19,60,Clear,2.06,SA,1698720513
284,pisco,-13.7,-76.2167,19.45,82,Clouds,7.2,PE,1698661875
285,conway,35.0887,-92.4421,5.95,66,Clouds,3.09,US,1698668924
286,starokostiantyniv,49.7576,27.2034,12.69,55,Clouds,4.27,UA,1698728258
